source,dc_name,developer_name,end_user,country,state,city,county_region,address,google_link,latitude,longitude,location_confidence,use,current_status,size_rank,facility_size_sqft,property_size_sqft,total_power_mw,power_source,cooling_system,water_use_gallons_year,water_use_mgd,existing_zoning,link_to_ordinance,proposed_zoning,key_permitting_issues,proximity_to_power_stations,state_federal_agency,year_permit_documents,permit_documents,year_of_operation,capital_operating_expenditure,socioenvironmental_issues,community_resistance,resistance_tactics,government_response,company_response,media
Ultimate DC Dataset,Lumen Metairie,Lumen,,USA,LA,New Orleans,,"3301 Lausat Street, 70001 Metairie, Louisiana, USA","https://www.google.com/maps/@29.9725642,-90.1580281,0a,73.7y,100h,90t/data=!3m4!1e1!3m2!1s9Z7Od6lFs4jPL8jbmmi6sA!2e0?source=apiv3",29.9725642,-90.1580281,,AI,,,"20,000",,n/a,,,,,,,,,,,,,n/a,,,,,,,
Ultimate DC Dataset,"DartPoints Baton Rouge, LA 1 - BTR01",DartPoints,,USA,LA,Baton Rouge,,"DartPoints, 7127 Florida Blvd, 70806 Baton Rouge, Louisiana, USA","https://www.google.com/maps/place/DartPoints/@30.4533074,-91.1183616,727m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8626a3ead0eea491:0xb3d8f902b1b15a33!8m2!3d30.4533028!4d-91.1157813!16s%2Fg%2F1vknprgn?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",30.4533074,-91.1183616,,Colocation,,,"86,400",,2.5,,,,,,,,,,,,,2000,,,,,,,
Ultimate DC Dataset,"DartPoints Baton Rouge, LA 2 - BTR02",DartPoints,,USA,LA,Baton Rouge,,"7119 Florida Blvd, Baton Rouge, LA 70806, USA","https://www.google.com/maps/place/7119+Florida+Blvd,+Baton+Rouge,+LA+70806,+USA/@30.4521776,-91.1186211,727m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8626a395333ed0a7:0x2edb8061c1511910!8m2!3d30.452173!4d-91.1160408!16s%2Fg%2F11bw3xh8t0?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",30.4521776,-91.1186211,,Colocation,,,"27,400",,6,,,,,,,,,,,,,2014,,,,,,,
Ultimate DC Dataset,Lumen Baton Rouge,Lumen,,USA,LA,Baton Rouge,,"9826 Burbank Drive, 70810 Louisana, Louisiana, USA","https://www.google.com/maps/place/9826+Burbank+Dr,+Baton+Rouge,+LA+70810,+USA/@30.3571106,-91.121307,17z/data=!3m1!4b1!4m6!3m5!1s0x8626a5eb9c3503dd:0x99ce6b08ea0a46b6!8m2!3d30.357106!4d-91.1187267!16s%2Fg%2F11c4ssb415?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",30.3571106,-91.121307,,Colocation,,,"5,000",,n/a,,,,,,,,,,,,,n/a,,,,,,,
Ultimate DC Dataset,"DartPoints Shreveport, LA - SHV01",DartPoints,,USA,LA,Shreveport,,"601 Milam St, 71101 Shreveport, Louisiana, USA","https://www.google.com/maps/place/DartPoints/@32.5111306,-93.7512462,19z/data=!4m6!3m5!1s0x8636cd3138fb46bb:0xee1fbfc2dba610b!8m2!3d32.510794!4d-93.749992!16s%2Fg%2F11c1wvqk3b?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",32.5111306,-93.7512462,,Colocation,,,"87,000",,2.2,,,,,,,,,,,,,2016,,,,,,,
Ultimate DC Dataset,Lockstep Technology Group Data Center,Lockstep Technology Group,,USA,LA,Baton Rouge,,"6867 Bluebonnet Blvd., 70810 Baton Rouge, Louisiana, USA","https://www.google.com/maps/@30.3872175,-91.0926333,0a,101.6y,77.06h,80.94t/data=!3m4!1e1!3m2!1sIQxazuvYGy1QbF0jPKVT3w!2e0?source=apiv3",30.3872175,-91.0926333,,Colocation,,,"30,000",,10,,,,,,,,,,,,,2007,,,,,,,
Ultimate DC Dataset,Lumen New Orleans 2,Lumen,,USA,LA,New Orleans,,"1250 Poydras St, Suite 500, 70113 New Orleans, Louisiana, USA","https://www.google.com/maps/@29.9509971,-90.076651,0a,73.7y,100h,90t/data=!3m4!1e1!3m2!1skA2uaYlJnWWfbnOgUOUlfQ!2e0?source=apiv3",29.9509971,-90.076651,,Colocation,,,in building,,15 kW,,,,,,,,,,,,,,,,,,,,"Cloud Connect to AWS, Azure, Google and more"
Ultimate DC Dataset,Lumen New Orleans 1,Lumen,,USA,LA,New Orleans,,"639 Loyola, 70113 New Orleans, Louisiana, USA","https://www.google.com/maps/place/639+Loyola+Ave,+New+Orleans,+LA+70113,+USA/@29.94886,-90.0794423,731m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8620a5ba37ba2359:0xcdac5eb133fb45dd!8m2!3d29.9488554!4d-90.076862!16s%2Fg%2F11v_4pstmt?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",29.94886,-90.0794423,,Colocation,,,"6,072",,,,,,,,,,,,,,,,,,,,,,
Ultimate DC Dataset,Cogent Data Center - New Orleans,Cogent Communications Inc.,,USA,LA,New Orleans,,"650 Poydras St., 70130 New Orleans, Louisiana, USA","https://www.google.com/maps/place/650+Poydras+St,+New+Orleans,+LA+70130,+USA/@29.9488792,-90.0726949,731m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8620a6749dc036db:0xe8db747c95b1e0e5!8m2!3d29.9488746!4d-90.0701146!16s%2Fg%2F11c3q36xr_?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",29.9488792,-90.0726949,,Colocation,,,"7,812",,0.7,,,,,,,,,,,,,,,,,,,,
Ultimate DC Dataset,FOGO Solutions - New Orleans,FOGO Solutions,,USA,LA,New Orleans,,"935 Gravier St, 70112 New Orleans, Louisiana, USA","https://www.google.com/maps/@29.9528165,-90.0734007,0a,73.7y,100h,90t/data=!3m4!1e1!3m2!1sAF7_ThkAhKDYUZFVOiv47g!2e0?source=apiv3",29.9528165,-90.0734007,,Colocation,,,n/a,,n/a,,,,,,,,,,,,,,,,,,,,
